[Header]
Application Name	LabSolutions
Version	5.98
Data File Name	C:\LabSolutions\Data\Project1\Hayashi\20220719\STD2.lcd
Output Date	2022/07/25
Output Time	17:20:36

[File Information]
Type	Data File
Generated	2022/07/21 0:03:40
Generated by	System Administrator
Modified	2022/07/25 11:06:40
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	2022/07/21 0:04:04
Sample Type	1:Standard
Level	2
Sample Name	STD2
Sample ID	STD2
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	48
Injection Volume	20

[Original Files]
Data File	C:\LabSolutions\Data\Project1\Hayashi\20220719\STD2.lcd
Method File	C:\LabSolutions\Data\Project1\Hayashi\20220719\20220719-r70 sugar 40 min std  buoh 80d 0.6(N8233).lcm
Batch File	C:\LabSolutions\Data\Project1\Hayashi\20220719\20220719.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	N8233 UV+RID
Instrument #	6
Line #	1
# of Detectors	2
Detector ID	Detector A	Detector B
Detector Name	åüèoäÌA	åüèoäÌB
# of Channels	2	1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec)	500
# of Points	4801
Start Time(min)	0.000
End Time(min)	40.000
Intensity Units	mV
Intensity Multiplier	0.001
Wavelength(nm)	210nm
R.Time (min)	Intensity
0.00000	11
0.00833	11
0.01667	3
0.02500	2
0.03333	3
0.04167	4
0.05000	5
0.05833	6
0.06667	6
0.07500	7
0.08333	7
0.09167	7
0.10000	7
0.10833	8
0.11667	9
0.12500	10
0.13333	11
0.14167	11
0.15000	11
0.15833	10
0.16667	8
0.17500	6
0.18333	4
0.19167	1
0.20000	-1
0.20833	-3
0.21667	-5
0.22500	-6
0.23333	-7
0.24167	-8
0.25000	-9
0.25833	-9
0.26667	-10
0.27500	-10
0.28333	-10
0.29167	-10
0.30000	-10
0.30833	-9
0.31667	-9
0.32500	-8
0.33333	-6
0.34167	-4
0.35000	-3
0.35833	-2
0.36667	-1
0.37500	-1
0.38333	-2
0.39167	-3
0.40000	-3
0.40833	-3
0.41667	-2
0.42500	0
0.43333	3
0.44167	5
0.45000	7
0.45833	7
0.46667	5
0.47500	3
0.48333	2
0.49167	0
0.50000	-1
0.50833	-2
0.51667	-3
0.52500	-5
0.53333	-7
0.54167	-9
0.55000	-11
0.55833	-13
0.56667	-14
0.57500	-14
0.58333	-14
0.59167	-13
0.60000	-11
0.60833	-9
0.61667	-7
0.62500	-5
0.63333	-3
0.64167	-2
0.65000	-2
0.65833	-2
0.66667	-1
0.67500	-0
0.68333	2
0.69167	5
0.70000	8
0.70833	11
0.71667	14
0.72500	16
0.73333	18
0.74167	18
0.75000	16
0.75833	12
0.76667	6
0.77500	0
0.78333	-5
0.79167	-8
0.80000	-10
0.80833	-11
0.81667	-11
0.82500	-11
0.83333	-11
0.84167	-11
0.85000	-12
0.85833	-12
0.86667	-13
0.87500	-14
0.88333	-14
0.89167	-14
0.90000	-12
0.90833	-10
0.91667	-7
0.92500	-5
0.93333	-3
0.94167	-1
0.95000	-0
0.95833	0
0.96667	-0
0.97500	-1
0.98333	-2
0.99167	-3
1.00000	-2
1.00833	-2
1.01667	-1
1.02500	1
1.03333	2
1.04167	2
1.05000	1
1.05833	-0
1.06667	-3
1.07500	-6
1.08333	-9
1.09167	-12
1.10000	-13
1.10833	-14
1.11667	-14
1.12500	-15
1.13333	-16
1.14167	-17
1.15000	-20
1.15833	-23
1.16667	-25
1.17500	-28
1.18333	-30
1.19167	-31
1.20000	-31
1.20833	-30
1.21667	-30
1.22500	-29
1.23333	-28
1.24167	-28
1.25000	-29
1.25833	-30
1.26667	-31
1.27500	-33
1.28333	-34
1.29167	-36
1.30000	-36
1.30833	-36
1.31667	-35
1.32500	-34
1.33333	-33
1.34167	-32
