[Header]
Application Name	LabSolutions
Version	5.98
Data File Name	C:\LabSolutions\Data\Project1\Hayashi\20220719\STD4.lcd
Output Date	2022/07/25
Output Time	17:20:36

[File Information]
Type	Data File
Generated	2022/07/21 2:45:46
Generated by	System Administrator
Modified	2022/07/25 11:06:40
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	2022/07/21 2:46:09
Sample Type	1:Standard
Level	4
Sample Name	STD4
Sample ID	STD4
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	50
Injection Volume	20

[Original Files]
Data File	C:\LabSolutions\Data\Project1\Hayashi\20220719\STD4.lcd
Method File	C:\LabSolutions\Data\Project1\Hayashi\20220719\20220719-r70 sugar 40 min std  buoh 80d 0.6(N8233).lcm
Batch File	C:\LabSolutions\Data\Project1\Hayashi\20220719\20220719.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	N8233 UV+RID
Instrument #	6
Line #	1
# of Detectors	2
Detector ID	Detector A	Detector B
Detector Name	åüèoäÌA	åüèoäÌB
# of Channels	2	1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec)	500
# of Points	4801
Start Time(min)	0.000
End Time(min)	40.000
Intensity Units	mV
Intensity Multiplier	0.001
Wavelength(nm)	210nm
R.Time (min)	Intensity
0.00000	-7
0.00833	-7
0.01667	-0
0.02500	-1
0.03333	-2
0.04167	-3
0.05000	-5
0.05833	-6
0.06667	-7
0.07500	-8
0.08333	-9
0.09167	-9
0.10000	-9
0.10833	-9
0.11667	-9
0.12500	-8
0.13333	-8
0.14167	-8
0.15000	-7
0.15833	-7
0.16667	-6
0.17500	-5
0.18333	-4
0.19167	-3
0.20000	-1
0.20833	1
0.21667	3
0.22500	6
0.23333	8
0.24167	10
0.25000	11
0.25833	11
0.26667	11
0.27500	10
0.28333	8
0.29167	7
0.30000	4
0.30833	2
0.31667	-2
0.32500	-5
0.33333	-8
0.34167	-10
0.35000	-12
0.35833	-14
0.36667	-14
0.37500	-15
0.38333	-15
0.39167	-16
0.40000	-17
0.40833	-18
0.41667	-20
0.42500	-20
0.43333	-21
0.44167	-21
0.45000	-21
0.45833	-21
0.46667	-22
0.47500	-24
0.48333	-26
0.49167	-27
0.50000	-29
0.50833	-31
0.51667	-33
0.52500	-36
0.53333	-40
0.54167	-44
0.55000	-48
0.55833	-51
0.56667	-52
0.57500	-51
0.58333	-49
0.59167	-45
0.60000	-40
0.60833	-36
0.61667	-31
0.62500	-27
0.63333	-23
0.64167	-19
0.65000	-15
0.65833	-13
0.66667	-12
0.67500	-13
0.68333	-14
0.69167	-16
0.70000	-18
0.70833	-19
0.71667	-19
0.72500	-20
0.73333	-20
0.74167	-21
0.75000	-20
