[Header]
Application Name	LabSolutions
Version	5.98
Data File Name	C:\LabSolutions\Data\Project1\Hayashi\20220719\STD3.lcd
Output Date	2022/07/25
Output Time	17:20:36

[File Information]
Type	Data File
Generated	2022/07/21 1:24:42
Generated by	System Administrator
Modified	2022/07/25 11:06:40
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	2022/07/21 1:25:05
Sample Type	1:Standard
Level	3
Sample Name	STD3
Sample ID	STD3
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	49
Injection Volume	20

[Original Files]
Data File	C:\LabSolutions\Data\Project1\Hayashi\20220719\STD3.lcd
Method File	C:\LabSolutions\Data\Project1\Hayashi\20220719\20220719-r70 sugar 40 min std  buoh 80d 0.6(N8233).lcm
Batch File	C:\LabSolutions\Data\Project1\Hayashi\20220719\20220719.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	N8233 UV+RID
Instrument #	6
Line #	1
# of Detectors	2
Detector ID	Detector A	Detector B
Detector Name	åüèoäÌA	åüèoäÌB
# of Channels	2	1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec)	500
# of Points	4801
Start Time(min)	0.000
End Time(min)	40.000
Intensity Units	mV
Intensity Multiplier	0.001
Wavelength(nm)	210nm
R.Time (min)	Intensity
0.00000	-5
0.00833	-5
0.01667	-3
0.02500	-5
0.03333	-6
0.04167	-5
0.05000	-4
0.05833	-3
0.06667	-0
0.07500	2
0.08333	3
0.09167	4
0.10000	4
0.10833	5
0.11667	6
0.12500	7
0.13333	8
0.14167	8
0.15000	7
0.15833	6
0.16667	5
0.17500	3
0.18333	3
0.19167	3
0.20000	3
0.20833	4
0.21667	6
0.22500	6
0.23333	7
0.24167	7
0.25000	7
0.25833	7
0.26667	7
0.27500	7
0.28333	7
0.29167	6
0.30000	5
0.30833	3
0.31667	2
0.32500	1
0.33333	0
0.34167	-0
0.35000	0
0.35833	1
0.36667	2
0.37500	3
0.38333	5
0.39167	6
0.40000	7
0.40833	7
0.41667	7
0.42500	7
0.43333	6
0.44167	6
0.45000	6
0.45833	5
0.46667	5
0.47500	6
0.48333	6
0.49167	7
0.50000	7
0.50833	8
0.51667	10
0.52500	11
0.53333	11
0.54167	12
0.55000	13
0.55833	14
0.56667	15
0.57500	16
0.58333	18
0.59167	19
0.60000	20
0.60833	21
0.61667	20
0.62500	19
0.63333	17
0.64167	15
0.65000	13
0.65833	11
0.66667	10
0.67500	7
0.68333	4
0.69167	1
0.70000	-3
0.70833	-7
0.71667	-10
0.72500	-12
0.73333	-14
0.74167	-15
0.75000	-14
0.75833	-14
0.76667	-12
0.77500	-11
0.78333	-9
0.79167	-8
0.80000	-7
0.80833	-7
0.81667	-6
0.82500	-5
0.83333	-5
0.84167	-5
0.85000	-5
0.85833	-6
0.86667	-7
0.87500	-8
0.88333	-8
0.89167	-8
0.90000	-7
0.90833	-5
0.91667	-3
0.92500	-1
0.93333	-0
0.94167	-0
0.95000	-2
0.95833	-3
0.96667	-5
0.97500	-6
0.98333	-7
0.99167	-8
1.00000	-9
1.00833	-10
1.01667	-12
1.02500	-14
1.03333	-17
1.04167	-20
1.05000	-24
1.05833	-27
1.06667	-29
1.07500	-30
1.08333	-30
1.09167	-28
1.10000	-25
1.10833	-23
1.11667	-21
1.12500	-20
1.13333	-21
1.14167	-22
1.15000	-24
1.15833	-26
1.16667	-28
1.17500	-30
1.18333	-32
1.19167	-34
1.20000	-36
1.20833	-38
1.21667	-38
1.22500	-38
1.23333	-37
1.24167	-35
1.25000	-33
1.25833	-30
1.26667	-26
1.27500	-23
1.28333	-20
1.29167	-17
1.30000	-16
1.30833	-15
1.31667	-15
1.32500	-16
1.33333	-17
1.34167	-18
1.35000	-19
1.35833	-20
1.36667	-21
1.37500	-21
1.38333	-20
1.39167	-19
1.40000	-17
1.40833	-16
1.41667	-15
1.42500	-15
1.43333	-16
1.44167	-19
1.45000	-22
1.45833	-26
1.46667	-31
1.47500	-35
1.48333	-38
1.49167	-40
1.50000	-41
1.50833	-42
1.51667	-43
1.52500	-45
1.53333	-46
1.54167	-48
1.55000	-48
1.55833	-49
1.56667	-49
1.57500	-49
1.58333	-49
1.59167	-49
1.60000	-48
1.60833	-47
1.61667	-45
1.62500	-43
1.63333	-42
1.64167	-41
1.65000	-41
1.65833	-41
1.66667	-40
1.67500	-39
1.68333	-38
1.69167	-36
1.70000	-35
1.70833	-34
1.71667	-33
1.72500	-31
1.73333	-29
1.74167	-26
1.75000	-23
1.75833	-21
1.76667	-18
1.77500	-16
1.78333	-16
1.79167	-16
1.80000	-17
1.80833	-19
1.81667	-21
1.82500	-23
1.83333	-25
1.84167	-28
1.85000	-31
1.85833	-34
1.86667	-39
